Name,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Average Age of Entry,Average Family Income,Median Family Income,Mean Earnings,Median Earnings
Berry College,3,4,Private,Southeast,Small Suburb,0.6032,27,1186,40965,12857,7060,15750,19.71999931,84014.55,71090,36800,34600
Brenau University,3,4,Private,Southeast,Small City,0.7829,20,957,34107,6630,6737,18638,28.21999931,52547.48,40713,40600,38100
Brewton-Parker College,3,3,Private,Southeast,Distant Rural,0.5137,19,896,22499,4183,4805,10250,25.75,48138.91,37869.5,31800,29300
College of Coastal Georgia,2,3,Public,Southeast,Small City,0.8221,20,940,15501,6365,5595,7711,26.42000008,29494.09,22006.5,30000,26300
Clayton State University,3,4,Public,Southeast,Large Suburb,0.477,20,939,17487,5310,6019,18997,26.22999954,40773.94,30868,37600,34900
Columbus State University,3,4,Public,Southeast,Mid-size City,0.5543,21,984,17029,7030,6212,14750,23.29000092,48872.34,35427.5,33500,30700
Covenant College,3,4,Private,Southeast,Large Suburb,0.5704,26,1173,38510,8344,6841,18500,24.81999969,72154.89,61514,42200,37200
Emory University,3,4,Private,Southeast,Large Suburb,0.2633,31,1363,58180,33796,12133,19000,21.20000076,95403.45,64962,72500,56900
Georgia Institute of Technology-Main Campus,3,4,Public,Southeast,Large City,0.5493,30,1352,21980,13939,11230,20750,20.03000069,94533.48,82697,69300,65700
Georgia Southwestern State University,3,4,Public,Southeast,Distant Town,0.6803,20,950,17839,5645,5689,14500,24,45710.89,31658.5,34900,31500
Georgia College and State University,3,4,Public,Southeast,Distant Town,0.6798,24,1126,23052,7476,6354,16250,20.72999954,81197.18,72314,38300,36300
Georgia Southern University,3,4,Public,Southeast,Remote Town,0.52,23,1094,21513,6183,6217,16250,20.59000015,75183.28,61757,39300,36600
Georgia State University,3,4,Public,Southeast,Large City,0.5466,23,1060,23124,7273,7149,17070,22.56999969,53412.71,38306,40500,37500
University of Georgia,3,4,Public,Southeast,Mid-size City,0.5608,28,1247,21162,8478,9015,16831,21.19000053,84425.2,69003,48800,42500
Gordon State College,2,3,Public,Southeast,Distant Town,0.4529,17,840,13091,4155,5168,8250,22.51000023,44126.94,33817.5,30900,28300
Kennesaw State University,3,4,Public,Southeast,Large Suburb,0.5654,23,1068,20630,6179,6252,15000,24.51000023,57729.39,41150.5,39800,37200
LaGrange College,3,4,Private,Southeast,Distant Town,0.5837,21,995,37305,12133,5532,18686.5,23.65999985,71834.84,63008.5,39800,38000
Mercer University,3,4,Private,Southeast,Small City,0.69,26,1171,46382,10646,7918,21500,26.63999939,65979.68,48287.5,53700,43900
Morehouse College,3,3,Private,Southeast,Large City,0.6684,21,990,45451,11151,6903,25999.5,19.63999939,68960.56,53238.5,41900,36200
Oglethorpe University,3,4,Private,Southeast,Large Suburb,0.5576,25,1131,43689,8645,4728,18459,22.32999992,62554.51,46214.5,41100,37600
Paine College,3,3,Private,Southeast,Mid-size City,0.4377,16,778,21516,8877,5423,15150,20.70000076,35425.97,27737,24600,21800
Piedmont College,3,4,Private,Southeast,Distant Town,0.6118,22,1001,32031,6381,5734,16703,25.78000069,65873.24,49580.5,37900,37000
Reinhardt University,3,4,Private,Southeast,Fringe Rural,0.514,22,1013,30734,6378,5710,9500,22.60000038,81710.16,67316.5,35400,33600
Savannah College of Art and Design,3,4,Private,Southeast,Mid-size City,0.6547,24,1078,49179,10302,8024,21521.5,20.45999908,95838.42,78907,35800,29700
Savannah State University,3,4,Public,Southeast,Mid-size City,0.8299,18,847,15531,5129,5294,17126,20.86000061,42652.55,31664,30600,26800
Shorter University,3,4,Private,Southeast,Small City,0.6807,21,954,30642,5532,5154,25250,31.61000061,61885.8,48847,47300,43000
Spelman College,3,3,Private,Southeast,Large City,0.3802,22,1024,41635,11178,7514,25500,19.94000053,71841.55,54315,43400,40600
Southern Polytechnic State University,3,4,Public,Southeast,Small City,0.7798,24,1123,16546,6169,5941,14750,23.46999931,56655.45,44584,49500,48900
Toccoa Falls College,3,3,Private,Southeast,Fringe Rural,0.494,20,1000,30178,4794,5049,15250,20.77000046,59143.38,50289,26700,24600
Truett-McConnell College,3,3,Private,Southeast,Fringe Rural,0.8064,20,939,26484,3853,3858,9960,20.14999962,69451.78,62264,30900,27800
Valdosta State University,3,4,Public,Southeast,Small City,0.5522,22,1033,20958,5873,5998,16000,21.71999931,63517.53,51351,36300,34300
Wesleyan College,3,4,Private,Southeast,Small City,0.4339,20,982,30878,11411,7250,19000,24.51000023,51834.51,37243.5,32100,32000
University of West Georgia,3,4,Public,Southeast,Fringe Town,0.5385,20,950,18879,6178,5787,14250,22.28000069,62503.86,51454,35100,32800
Young Harris College,3,3,Private,Southeast,Remote Rural,0.5365,21,980,34007,8802,6076,10500,19.71999931,72203.98,57743.5,34900,31200
Chaminade University of Honolulu,3,4,Private,Far West,Large City,0.8359,21,972,30801,8093,8006,15969.5,23.90999985,53188.8,35422,37700,37600
University of Hawaii at Hilo,3,4,Public,Far West,Remote Town,0.752,21,967,15284,12842,8745,11293,23.12999916,46268.64,29592,33900,30400
University of Hawaii at Manoa,3,4,Public,Far West,Large City,0.8009,24,1087,18491,17768,10360,13750,22.32999992,54876.85,39485,43100,38500
Hawaii Pacific University,3,4,Private,Far West,Large City,0.6411,22,1005,29762,6203,8603,16250,23.52000046,58493.03,41600,47100,42100
University of Hawaii-West Oahu,3,3,Public,Far West,Large Suburb,0.7643,19,891,9874,9141,8488,8045,31.57999992,28664.54,21363,39000,37400
Boise Bible College,3,3,Private,Rocky Mountains,Large Suburb,1,20,977,23036,2285,5317,10250,22.62000084,44068.64,38165,23800,23500
Boise State University,3,4,Public,Rocky Mountains,Mid-size City,0.7766,23,1050,18227,6777,6905,16309,24.61000061,45640.12,33780.5,37100,33000
University of Idaho,3,4,Public,Rocky Mountains,Fringe Rural,0.6565,23,1070,19700,10938,7986,18550,21.45999908,64677.72,51484,41000,35800
The College of Idaho,3,4,Private,Rocky Mountains,Mid-size Suburb,0.905,24,1070,34555,7465,5969,20000,20.35000038,82263.55,65590,38100,34900
Lewis-Clark State College,3,3,Public,Rocky Mountains,Small City,0.9977,20,936,16184,6049,5512,12500,25.65999985,39595.63,30202,33500,29700
Northwest Nazarene University,3,4,Private,Rocky Mountains,Mid-size Suburb,0.617,25,1079,34498,6722,5691,19500,22.27000046,71208.46,60526,37000,32300
Brigham Young University-Idaho,3,3,Private,Rocky Mountains,Distant Town,0.9963,23,1036,10438,4198,8206,7725,21.27000046,48558.75,31581,39300,33800
School of the Art Institute of Chicago,3,4,Private,Great Lakes,Large City,0.7184,23,1065,55551,14724,9208,19503,22.37999916,65019.84,42495.5,33200,28800
Aurora University,3,4,Private,Great Lakes,Large Suburb,0.7595,22,1011,31145,4697,7064,15000,22.20000076,69996.76,61464,38100,36600
Blackburn College,3,3,Private,Great Lakes,Distant Town,0.6799,22,1034,24126,6984,5861,14000,20.28000069,62734.02,57207,34000,32600
Bradley University,3,4,Private,Great Lakes,Mid-size City,0.6694,26,1163,40330,14790,8424,23677,20.15999985,93987.58,85839,49700,45000
Chicago State University,3,4,Public,Great Lakes,Large City,0.2865,19,892,18472,14592,7512,20862.5,26.42000008,25960.58,19349,34700,31200
University of Chicago,3,4,Private,Great Lakes,Large City,0.0881,34,1504,62425,74864,16589,17610,21.80999947,75760.31,53224,86100,58700
Concordia University-Chicago,3,4,Private,Great Lakes,Large Suburb,0.5441,22,1030,34774,8334,4134,15750,22.06999969,69992.09,61882,39000,36400
DePaul University,3,4,Private,Great Lakes,Large City,0.5987,26,1163,46375,11612,10392,20500,22.28000069,74671.61,54683,49400,44800
Eastern Illinois University,3,4,Public,Great Lakes,Remote Town,0.6191,22,1010,23346,12690,7773,18750,21.32999992,75174.62,69586,38000,36000
Elmhurst College,3,4,Private,Great Lakes,Large Suburb,0.718,24,1084,41472,8096,7596,18791.5,22.21999931,78522.59,67472.5,45700,42700
Eureka College,3,3,Private,Great Lakes,Fringe Town,0.6781,23,1053,28799,7252,5887,19000,21.54000092,69996.09,70145,32600,28900
Greenville College,3,4,Private,Great Lakes,Distant Town,0.657,22,1033,33675,6925,5649,16568,23.21999931,65457.64,61294,35800,32400
Hebrew Theological College,3,4,Private,Great Lakes,Small City,0.9299,21,1019,33966,7564,5525,5500,19.12000084,47801.79,41588,25500,20600
University of Illinois at Chicago,3,4,Public,Great Lakes,Large City,0.714,24,1092,25248,25773,9797,14750,21.06999969,55560.29,41721,54400,47000
Benedictine University,3,4,Private,Great Lakes,Large Suburb,0.695,22,1030,35481,5558,7686,17188,24.95000076,65286.83,53068,46900,43400
University of Illinois at Urbana-Champaign,3,4,Public,Great Lakes,Small City,0.6239,29,1303,28564,13674,11576,19399,19.67000008,93333.2,85462,56900,50700
Illinois Wesleyan University,3,3,Private,Great Lakes,Small City,0.5838,28,1241,48522,15537,7853,25000,19.38999939,113545.76,103114.5,51100,48500
Illinois College,3,3,Private,Great Lakes,Distant Town,0.6129,22,1024,36829,9488,5171,20000,19.70000076,79925.37,74965,38200,34400
Illinois Institute of Technology,3,4,Private,Great Lakes,Large City,0.5697,28,1252,48940,12231,11256,22015,21.44000053,69130.16,55985.5,70000,61700
Illinois State University,3,4,Public,Great Lakes,Mid-size Suburb,0.6892,24,1110,25416,9950,7665,18750,20.45999908,86459.94,82019,43000,40600
Judson University,3,4,Private,Great Lakes,Mid-size City,0.7069,23,1045,37635,8737,6071,18245.5,26.39999962,73319.5,67400.5,40400,36300
Lake Forest College,3,4,Private,Great Lakes,Large Suburb,0.5727,26,1157,49743,10173,8231,24000,19.68000031,96529.57,81078,46400,41600
Lewis University,3,4,Private,Great Lakes,Large Suburb,0.5587,24,1088,34079,8122,9021,20000,22.75,78739.55,71614,47000,43500
Lincoln Christian University,3,4,Private,Great Lakes,Distant Town,0.6875,22,996,25309,5975,5114,18012,23.65999985,60105.48,56424,30800,27400
Lincoln College,2,3,Private,Great Lakes,Distant Town,0.8747,18,850,28702,4147,4978,9500,20.87999916,62676.8,51915,29400,25700
Loyola University Chicago,3,4,Private,Great Lakes,Large City,0.914,27,1195,47727,11462,9432,22934,20.51000023,85748.31,67583.5,50600,45500
MacMurray College,3,3,Private,Great Lakes,Distant Town,0.7488,21,964,30843,6297,5360,18000,21.78000069,64073.33,56550.5,35000,32700
McKendree University,3,4,Private,Great Lakes,Large Suburb,0.6289,23,1046,37004,5614,6641,17613,24.43000031,61352.61,52208,44200,40500
Millikin University,3,4,Private,Great Lakes,Small City,0.5512,24,1087,39576,8378,5844,22000,21.96999931,76988.11,68264.5,41500,38600
Monmouth College,3,3,Private,Great Lakes,Remote Town,0.6431,23,1049,40578,9453,6770,22000,19.75,81617.83,76102,38600,35500
North Central College,3,4,Private,Great Lakes,Mid-size City,0.6365,25,1125,41218,8407,7337,20000,20.72999954,88589.6,83750,41800,40100
North Park University,3,4,Private,Great Lakes,Large City,0.5234,22,1030,31065,6660,7535,18750,22.29999924,73119.69,60232.5,40700,37300
Northern Illinois University,3,4,Public,Great Lakes,Small Suburb,0.5613,22,1010,27621,12208,7834,16500,20.76000023,72317.38,64181,42500,39500
Northwestern University,3,4,Private,Great Lakes,Small City,0.1532,33,1458,60729,34438,14525,18234,21.5,93582.8,71885.5,78000,58100
Northeastern Illinois University,3,4,Public,Great Lakes,Large City,0.5981,19,890,22273,11837,6988,11643.5,24.63999939,35049.57,25711.5,35400,33100
Olivet Nazarene University,3,4,Private,Great Lakes,Small Suburb,0.8196,24,1105,39125,4740,6769,19802,22.75,76119.58,68140,38700,33900
Quincy University,3,4,Private,Great Lakes,Remote Town,0.8859,23,1048,36948,5006,5436,14000,21.57999992,69617.4,61719.5,39800,33500
Rockford University,3,4,Private,Great Lakes,Mid-size City,0.4097,22,1029,37253,5854,5567,18750,25.47999954,59744.32,45484,39500,37400
Roosevelt University,3,4,Private,Great Lakes,Large City,0.7878,22,1035,43650,10188,7992,18144,25.86000061,56408.85,39566.5,43400,39400
Dominican University,3,4,Private,Great Lakes,Large Suburb,0.5997,22,1031,36307,9940,6685,18656,21.60000038,70505.27,58497.5,41700,40100
University of St Francis,3,4,Private,Great Lakes,Large Suburb,0.5141,23,1070,36226,7644,7543,21000,24.46999931,78868.51,73669,47500,44700
Saint Xavier University,3,4,Private,Great Lakes,Large City,0.5054,22,1010,35284,8567,7886,19150,22.59000015,65314.47,53937,43700,40800
University of Illinois at Springfield,3,4,Public,Great Lakes,Mid-size City,0.5977,24,1085,21385,10685,7464,15000,25.20999908,54554.28,42542.5,42700,40000
Southern Illinois University-Carbondale,3,4,Public,Great Lakes,Small City,0.7887,22,1032,24234,16344,7208,15245,22.17000008,59660.34,47485,41800,37400
Southern Illinois University-Edwardsville,3,4,Public,Great Lakes,Large Suburb,0.8419,23,1050,21137,12487,7859,14317,21.54000092,64774.34,56221,42200,37800
Trinity Christian College,3,3,Private,Great Lakes,Large Suburb,0.9022,23,1053,33611,10993,6506,21411,23.80999947,78627.29,70413,40100,37800
Trinity International University-Illinois,3,4,Private,Great Lakes,Large Suburb,0.9372,23,1049,37929,8735,7250,20422,27.20999908,64254.25,49308.5,41300,37200
Western Illinois University,3,4,Public,Great Lakes,Remote Town,0.5931,21,970,24375,11290,8263,17729,20.96999931,74171.17,65915,40500,37200
Wheaton College,3,4,Private,Great Lakes,Large Suburb,0.6871,30,1318,41394,14865,8328,21179,19.52000046,99339.64,83641,43700,39700
Anderson University,3,4,Private,Great Lakes,Small City,0.5545,23,1053,37937,8062,6395,23000,21.51000023,78026.29,72723,36800,33400
Ball State University,3,4,Public,Great Lakes,Small City,0.6054,22,1053,21101,9700,7305,18686,20.55999947,78230.63,73544,37800,35800
Bethel College-Indiana,3,4,Private,Great Lakes,Small City,0.7158,24,1047,33617,7756,5506,18275,25.73999977,62249.48,54043,36400,33200
Butler University,3,4,Private,Great Lakes,Large City,0.661,28,1212,47010,12922,7980,25000,20.09000015,109689.19,99069,62400,50700
Calumet College of Saint Joseph,3,4,Private,Great Lakes,Large Suburb,0.4,18,855,19530,6949,5564,15500,29.17000008,51031.19,39621,43700,38700
DePauw University,3,3,Private,Great Lakes,Distant Town,0.6121,27,1215,51050,18330,8900,21000,19.48999977,107948.47,92959,51500,44800
Earlham College,3,4,Private,Great Lakes,Distant Town,0.637,29,1262,50930,19527,7391,21197,19.86000061,94178.23,79944,31700,29900
University of Evansville,3,4,Private,Great Lakes,Mid-size City,0.8409,26,1147,42674,10365,7658,23638,20.48999977,80378.71,73591.5,41600,37000
Franklin College,3,3,Private,Great Lakes,Large Suburb,0.6002,22,1010,37962,8715,6524,24500,19.79000092,80627.78,77176.5,39600,37400
Goshen College,3,4,Private,Great Lakes,Small City,0.5506,26,1123,37707,10729,5509,17000,22.17000008,76827.8,71149,35800,34400
Grace College and Theological Seminary,3,4,Private,Great Lakes,Distant Town,0.7884,23,1050,32506,5818,5839,17675,20.17000008,78685.69,71611,33700,33800
Hanover College,3,3,Private,Great Lakes,Distant Town,0.6673,26,1130,42198,13801,7847,22225,19.56999969,90897.96,82681,41500,37300
Holy Cross College,3,3,Private,Great Lakes,Large Suburb,0.7231,23,1014,33660,7233,4545,14000,20.30999947,101558.45,83600,37000,30200
Huntington University,3,4,Private,Great Lakes,Distant Town,0.9732,24,1054,34764,8241,5945,21875,21.54999924,78159.98,72496.5,32500,31900
Indiana University-Purdue University-Fort Wayne,3,4,Public,Great Lakes,Large City,0.8309,22,996,18837,6082,7355,15517,23.39999962,55513.79,45905.5,34800,32000
Indiana University-Purdue University-Indianapolis,3,4,Public,Great Lakes,Large City,0.6958,22,1013,20846,15311,7713,16500,23.69000053,56695.09,43017,43200,37400
University of Indianapolis,3,4,Private,Great Lakes,Large City,0.8443,22,1018,36158,8024,6903,19200,23.12000084,68430.95,58141,39900,36700
Indiana Institute of Technology,3,4,Private,Great Lakes,Large City,0.7225,20,934,35911,3479,6965,10250,29.15999985,54055.17,43973.5,41100,37600
University of Southern Indiana,3,4,Public,Great Lakes,Mid-size Suburb,0.6934,22,1004,17996,5112,6363,13500,21.26000023,64285.39,57798,34400,31300
Indiana State University,3,4,Public,Great Lakes,Small City,0.8306,19,910,19549,7430,7071,11726.5,21.93000031,60917.09,52313,35900,33100
Indiana University-Kokomo,3,4,Public,Great Lakes,Small City,0.7355,21,950,15874,5515,5680,12050,25.40999985,53539.93,42220,36600,33900
Indiana University-South Bend,3,4,Public,Great Lakes,Mid-size City,0.7003,21,962,17377,7174,5575,14000,24,52103.27,42462,33100,31300
Indiana University-Bloomington,3,4,Public,Great Lakes,Small City,0.7217,27,1198,23043,13471,9431,19500,20.26000023,92768.66,80326,49000,42000
Indiana University-Northwest,3,4,Public,Great Lakes,Small City,0.7625,20,918,18092,6481,6557,14950,25.54999924,44723.98,29342,36400,34100
Indiana University-Southeast,3,4,Public,Great Lakes,Large Suburb,0.7945,20,950,16753,6512,6539,12500,23.54999924,51830.59,41532,35100,32800
Indiana University-East,3,4,Public,Great Lakes,Fringe Rural,0.5381,21,943,15334,5273,5755,13336,25.76000023,41221.38,33572,30700,27600
Manchester University,3,4,Private,Great Lakes,Distant Town,0.7116,22,1017,38505,5778,6924,19500,19.90999985,76767.12,74409.5,37100,35900
Marian University,3,4,Private,Great Lakes,Large City,0.5795,22,1024,39369,8781,5762,23412.5,26.12000084,61627.36,48632,42500,39800
Indiana Wesleyan University,3,4,Private,Great Lakes,Distant Town,0.9515,24,1083,33770,3954,6853,21500,31.17000008,69016.27,61954.5,51100,45100
University of Notre Dame,3,4,Private,Great Lakes,Large Suburb,0.223,33,1450,57805,26795,12629,20300,20.09000015,123618.48,106005,76300,63200
Oakland City University,3,4,Private,Great Lakes,Distant Town,0.7285,22,988,31104,4833,3610,10500,25.48999977,48802.1,40279.5,34100,30600
Purdue University-North Central Campus,3,4,Public,Great Lakes,Fringe Rural,0.7218,20,954,13713,4976,6971,12285.5,23.69000053,56178.87,47378,37300,32800
Rose-Hulman Institute of Technology,3,4,Private,Great Lakes,Small City,0.5622,30,1310,55413,20879,8411,26000,19.5,105688.73,91307,72500,71300
University of Saint Francis-Fort Wayne,3,4,Private,Great Lakes,Large City,0.5362,21,981,31516,7513,5666,20000,23.61000061,69162.62,63504,38200,36600
Saint Josephs College,3,4,Private,Great Lakes,Distant Town,0.6419,22,998,37135,6339,5443,13576.5,20.30999947,79082.58,75145.5,37900,35800
Saint Mary-of-the-Woods College,3,4,Private,Great Lakes,Fringe Rural,0.9754,19,895,40349,10418,4867,19813,29.79999924,55145.39,47554,30300,29800
Saint Mary's College,3,3,Private,Great Lakes,Large Suburb,0.8568,26,1141,45920,14363,6258,26814,19.51000023,119024.16,103102,44700,41800
Taylor University,3,4,Private,Great Lakes,Distant Town,0.876,28,1214,38845,9780,6365,20500,20.87000084,82840.55,71404,35500,32800
Trine University,3,4,Private,Great Lakes,Distant Town,0.7157,24,1095,40679,5574,7319,16950,23.34000015,64548.72,59270,41600,39200
Valparaiso University,3,4,Private,Great Lakes,Large Suburb,0.7969,26,1158,43185,10489,7280,23250,20.55999947,90375.63,81419.5,45900,42400
Buena Vista University,3,4,Private,Great Plains,Remote Town,0.6955,23,1050,39011,7412,6736,17879,24.87999916,53455.6,47120.5,37700,36100
Central College,3,3,Private,Great Plains,Distant Town,0.658,24,1089,43491,11755,6790,27000,19.61000061,89009.31,77865,40300,39200
Clarke University,3,4,Private,Great Plains,Small City,0.7752,23,1048,38062,8045,6109,20500,22.02000046,67508.74,60813.5,39400,35800
Coe College,3,4,Private,Great Plains,Mid-size City,0.6171,26,1166,45387,11825,7662,21875,20.40999985,81256.19,75314,43200,40300
Cornell College,3,3,Private,Great Plains,Fringe Town,0.6411,26,1182,46135,9227,6592,25015,19.65999985,90358.36,82517,38200,35100
Dordt College,3,4,Private,Great Plains,Remote Town,0.7542,25,1119,37080,8671,5959,19500,19.67000008,82944.11,74121,38400,35600
Drake University,3,4,Private,Great Plains,Mid-size City,0.6595,28,1240,42477,9273,9108,21500,20.27000046,97812.93,88132.5,60300,48000
University of Dubuque,3,4,Private,Great Plains,Small City,0.7742,20,926,34206,6971,6274,17114,20.95999908,64765.21,57825,35000,32900
Faith Baptist Bible College and Theological Seminary,3,4,Private,Great Plains,Large Suburb,0.6693,22,1028,24930,6813,4992,12000,20.37000084,54270.16,49742,29400,29200
Graceland University-Lamoni,3,4,Private,Great Plains,Remote Rural,0.5018,21,969,34494,8769,4986,18089.5,23.28000069,59558.41,52671.5,36600,33200
Grand View University,3,4,Private,Great Plains,Mid-size City,0.9542,21,979,31761,6141,6421,18500,23.35000038,64073.16,54502,40200,38900
Grinnell College,3,3,Private,Great Plains,Remote Town,0.3506,30,1357,53318,23516,9129,10022.5,19.37999916,98649.16,88440,47100,37600
Iowa State University,3,4,Public,Great Plains,Small City,0.8252,25,1145,18820,9170,10027,19750,20.34000015,81434.68,73557,47500,43500
Iowa Wesleyan College,3,3,Private,Great Plains,Remote Town,0.6012,22,1005,36102,10008,5473,16595.5,24.35000038,53867.45,42117,31400,30800
University of Iowa,3,4,Public,Great Plains,Small City,0.8023,27,1208,21832,13911,10194,18692.5,20.95000076,83051.2,74267,51300,44000
Loras College,3,4,Private,Great Plains,Small City,0.6903,24,1088,37622,6903,6173,24225,20.15999985,89740.93,79300,41500,38200
Luther College,3,3,Private,Great Plains,Remote Town,0.7212,26,1175,46548,11373,7539,26902,19.62999916,99210.06,90605,42900,39900
Morningside College,3,4,Private,Great Plains,Small City,0.5337,23,1050,36280,5367,6371,19932,20.31999969,68803.77,64251,38400,36600
Mount Mercy University,3,4,Private,Great Plains,Mid-size City,0.6845,22,1010,37183,7292,6007,19500,23.36000061,71565.62,65962.5,42600,40900
University of Northern Iowa,3,4,Public,Great Plains,Small City,0.8331,22,1030,19233,9117,8062,18500,20.81999969,74741.68,70699,42100,38700
Northwestern College,3,3,Private,Great Plains,Distant Town,0.7609,24,1095,37884,8464,6206,20500,19.73999977,80605.26,68899,33800,32600
Saint Ambrose University,3,4,Private,Great Plains,Mid-size City,0.9617,23,1050,38189,8935,6754,20500,21.84000015,82268.74,72155,43900,40500
Simpson College,3,4,Private,Great Plains,Fringe Town,0.8802,24,1105,40186,7720,6312,22500,21.55999947,77864.13,71500,42100,40400
Upper Iowa University,3,4,Private,Great Plains,Remote Rural,0.5818,22,1010,35190,4234,5794,15882.5,28.40999985,48304.02,38423,40700,39000
Waldorf College,3,3,Private For-Profit,Great Plains,Remote Town,0.5067,21,980,30300,5407,5046,12000,20.20999908,69118.65,62067.5,33800,32000
Wartburg College,3,3,Private,Great Plains,Distant Town,0.7765,24,1077,43312,9391,6274,24124,19.57999992,87843.22,79035.5,42700,39700
William Penn University,3,4,Private,Great Plains,Remote Town,0.5766,20,926,33081,4768,5792,18740,27.68000031,53458.98,45954.5,40500,36900
Baker University,3,4,Private,Great Plains,Fringe Town,0.869,24,1086,37485,4981,5758,21353,26.76000023,71428.09,60418,50600,45500
Benedictine College,3,4,Private,Great Plains,Distant Town,0.6057,25,1145,36805,5931,6165,19500,20.07999992,89380.43,79145.5,36600,35000
Bethany College,3,3,Private,Great Plains,Remote Town,0.5882,21,956,34042,5421,4361,15750,20.23999977,67371.34,60417,35900,33500
Bethel College-North Newton,3,3,Private,Great Plains,Distant Town,0.644,23,1028,33781,7880,5407,15090,21.46999931,69847.54,58902,38500,35400
Central Christian College of Kansas,3,3,Private,Great Plains,Remote Town,0.5045,21,970,28170,2036,3262,8821,21.04999924,58734.19,51132,30700,28200
Emporia State University,3,4,Public,Great Plains,Remote Town,0.6069,22,1030,15612,7795,6268,14000,21.84000015,60261.55,54559,35100,33200
Fort Hays State University,3,4,Public,Great Plains,Remote Town,0.8917,21,990,15395,5150,6488,11606,23.75,55153.96,48317,37600,34800
Barclay College,3,4,Private,Great Plains,Remote Rural,0.5285,20,954,24990,3955,4622,12625,21.29999924,55592.03,46657,28900,26400
Friends University,3,4,Private,Great Plains,Large City,0.5862,21,977,33388,5303,6443,20834,27.87000084,56227.91,45203.5,42400,38300
University of Kansas,3,4,Public,Great Plains,Small City,0.9228,25,1145,21971,16874,9694,14799,20.82999992,85281.02,72937,47500,41600
Newman University,3,4,Private,Great Plains,Large City,0.4472,24,1079,33524,4504,5684,16945,25.26000023,57296.43,43838,41500,39500
Kansas Wesleyan University,3,4,Private,Great Plains,Remote Town,0.537,22,1014,34402,4988,5498,15455,22.12000084,62345.03,53597,37700,35600
Manhattan Christian College,3,3,Private,Great Plains,Small City,0.5988,22,1020,25439,4388,5189,13000,23.04000092,65890.15,62000.5,33600,29000
McPherson College,3,3,Private,Great Plains,Remote Town,0.866,22,1014,34534,7906,5217,15000,21.48999977,73640.07,64333,39600,37000
MidAmerica Nazarene University,3,4,Private,Great Plains,Large Suburb,0.7223,20,950,32388,5381,6156,15000,24.5,70290.04,60929,43500,39200
Ottawa University-Ottawa,3,4,Private,Great Plains,Distant Town,0.9888,22,1020,35017,2570,5650,17000,30.80999947,55721.97,45681,42300,37700
Pittsburg State University,3,4,Public,Great Plains,Distant Town,0.7898,22,1010,15211,6350,6987,13377.5,21.85000038,57010.56,48823,38200,35300
University of Saint Mary,3,4,Private,Great Plains,Fringe Town,0.4707,22,988,31515,7202,5695,18385,24.12999916,65749.26,57817.5,35000,32600
Southwestern College,3,4,Private,Great Plains,Distant Town,0.8968,23,1036,36472,5122,5689,19192,27.27000046,61741.56,52868,47400,42500
Sterling College,3,3,Private,Great Plains,Distant Rural,0.4405,22,1015,30722,4858,3587,14500,20.35000038,63416.69,58450,33100,29300
Tabor College,3,4,Private,Great Plains,Remote Town,0.735,23,1017,35960,5268,4248,15000,22.75,62946.5,59463,39300,35300
Wichita State University,3,4,Public,Great Plains,Large City,0.9576,24,1089,14764,6594,7568,15250,23.88999939,52548.32,41686,39500,36400
Alice Lloyd College,3,3,Private,Southeast,Remote Rural,0.4502,21,990,19450,4532,4454,6700,19.98999977,36041.15,30027.5,32700,27700
Asbury University,3,4,Private,Southeast,Fringe Town,0.6573,24,1110,33966,8335,5924,20325,21.25,75367.79,68034.5,33000,30200
Bellarmine University,3,4,Private,Southeast,Large City,0.9478,25,1116,47609,8456,7580,19500,22.22999954,79655.05,68519,45800,42700
Berea College,3,3,Private,Southeast,Distant Town,0.3401,24,1113,30396,15067,7357,5496.5,20.04999924,30776.75,29786.5,31200,29700
Brescia University,3,4,Private,Southeast,Small City,0.45,22,1010,27219,7085,5221,12146.5,23.69000053,54869.78,51173,37000,35000
Campbellsville University,3,4,Private,Southeast,Remote Town,0.6844,21,985,31545,5444,5692,12000,22.56999969,53677.57,45765,31000,29800
Centre College,3,3,Private,Southeast,Distant Town,0.6857,29,1268,46400,15873,6951,21450,19.37000084,103884.41,90526,42100,35800
University of the Cumberlands,3,4,Private,Southeast,Remote Town,0.7127,22,1019,30993,4050,5417,9500,21.04000092,57753.77,48248,32500,30100
Eastern Kentucky University,3,4,Public,Southeast,Distant Town,0.6002,22,1009,17801,8413,6910,14921.5,22.37000084,53226.68,40016,34900,31900
Georgetown College,3,4,Private,Southeast,Fringe Town,0.8219,24,1085,42036,7813,5999,21445,19.73999977,85596.2,79282.5,39800,35100
Kentucky State University,3,4,Public,Southeast,Distant Town,0.3774,18,860,18387,7431,6102,14750,22.54000092,41361.97,31104,27300,26100
Kentucky Wesleyan College,3,3,Private,Southeast,Small City,0.671,22,1019,29725,5489,5191,14000,20.29000092,58869.38,56064,33000,29100
University of Kentucky,3,4,Public,Southeast,Large City,0.6861,25,1140,22420,10793,9614,14000,21.12999916,71446.07,57564,45300,39300
Kentucky Christian University,3,4,Private,Southeast,Distant Town,0.5136,21,976,29246,4538,4594,9500,21.32999992,59198.41,48450.5,29000,26500
